title,area,Diện tích đất:,Hướng cửa chính:,Giấy tờ pháp lý:,Đặc điểm nhà/đất:,Loại hình đất:,Chiều ngang:,Chiều dài:,Số phòng ngủ:,Số phòng vệ sinh:,Loại hình nhà ở:,Tình trạng nội thất:,Diện tích sử dụng:,Tình trạng bất động sản:,Diện tích:,Loại hình căn hộ:,Tổng số tầng:,Tầng số:,Hướng ban công:,Đặc điểm căn hộ:,Loại hình văn phòng:,street,ward,district,city,Phân khu/Lô/Block/Tháp,has_floor_number,Price (trieu VND)
Nhà trệt + lửng + lầu đúc BTCT kiên cố bán 4.9 tỷ,48.0,48.0,Tây Nam,Đã có sổ,Hẻm xe hơi,Đất nền dự án,4.0,12.0,3.0,3.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,130.0,Chưa bàn giao,60.0,Chung cư,1.0,6.0,Đông Nam,Căn góc,Mặt bằng kinh doanh,đường trịnh đình trọng,phường hòa thạnh,quận tân phú,tp hồ chí minh,Không thuộc project/block,1,4900.0
"VỠ NỢ BÁN NHÀ Đ.TÔ HIẾN THÀNH Q10 80M2/1,7 TỶ_SHR.",80.0,80.0,Tây Nam,Đã có sổ,Nở hậu,Đất nền dự án,5.0,16.0,3.0,2.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,80.0,Chưa bàn giao,60.0,Chung cư,1.0,6.0,Đông Nam,Căn góc,Mặt bằng kinh doanh,đường tô hiến thành,phường 10,quận 10,tp hồ chí minh,Không thuộc project/block,1,1700.0
88m2 2 PN Diamond Alnata Celadon giá chỉ 4.1 tỉ,88.3,80.0,Tây Nam,Giấy tờ khác,Nở hậu,Đất nền dự án,5.0,16.0,2.0,2.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,80.0,Chưa bàn giao,88.3,Chung cư,1.0,6.0,Đông Nam,Căn góc,Mặt bằng kinh doanh,số 88,phường sơn kỳ,quận tân phú,tp hồ chí minh,Không thuộc project/block,1,4100.0
Bán nhà phố liền kề 03 tầng giá thật KCN Tân Đức,25.0,25.0,Tây Nam,Đang chờ sổ,Nở hậu,Đất nền dự án,4.0,6.0,3.0,2.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,75.0,Chưa bàn giao,88.3,Chung cư,1.0,6.0,Đông Nam,Căn góc,Mặt bằng kinh doanh,đường nguyễn văn bứa,xã xuân thới thượng,huyện hóc môn,tp hồ chí minh,Không thuộc project/block,1,520.0
"NHÀ HAI MT LÊ THI HOA,THỦ ĐỨC,DT 6X11,HẺM 5M,3.3TI",66.0,66.0,Tây Nam,Đã có sổ,Hẻm xe hơi,Đất nền dự án,6.0,11.0,2.0,1.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,66.0,Chưa bàn giao,88.3,Chung cư,1.0,6.0,Đông Nam,Căn góc,Mặt bằng kinh doanh,đường lê thị hoa,phường bình chiểu,quận thủ đức,tp hồ chí minh,Không thuộc project/block,1,3300.0
"Nhà 1982 sổ riêng 5,4*12 1trệt1lầu3pn2wc 3ty100 TL",65.0,65.0,Tây Nam,Đã có sổ,Hẻm xe hơi,Đất nền dự án,5.4,12.0,3.0,2.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,65.0,Chưa bàn giao,88.3,Chung cư,1.0,6.0,Đông Nam,Căn góc,Mặt bằng kinh doanh,đường huỳnh tấn phát,thị trấn nhà bè,huyện nhà bè,tp hồ chí minh,Không thuộc project/block,1,3100.0
Đất hxh đường số 2 hiệp bình Thủ Đức 100m² giá rẻ,100.0,100.0,Tây Nam,Đã có sổ,Hẻm xe hơi,Đất thổ cư,5.0,20.0,3.0,2.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,65.0,Chưa bàn giao,88.3,Chung cư,1.0,6.0,Đông Nam,Căn góc,Mặt bằng kinh doanh,đường số 2,phường hiệp bình phước,quận thủ đức,tp hồ chí minh,Không thuộc project/block,1,5600.0
BÁN NHÀ HOÀNG HOA THÁM – TT BA ĐÌNH- NHÀ ĐẸP-5T-NG,37.0,37.0,Đông Nam,Đã có sổ,Nở hậu,Đất thổ cư,5.0,20.0,4.0,3.0,"Nhà ngõ, hẻm",Nội thất cao cấp,65.0,Chưa bàn giao,88.3,Chung cư,5.0,6.0,Đông Nam,Căn góc,Mặt bằng kinh doanh,đường hoàng hoa thám,phường cống vị,quận ba đình,hà nội,Không thuộc project/block,1,3600.0
Bán đất mặt tiền vàng đai 14-26 gần ủy ban xã,1000.0,1000.0,Đông Nam,Đã có sổ,Nở hậu,Đất thổ cư,23.0,50.0,4.0,3.0,"Nhà ngõ, hẻm",Nội thất cao cấp,65.0,Chưa bàn giao,88.3,Chung cư,5.0,6.0,Đông Nam,Căn góc,Mặt bằng kinh doanh,đường vành đai,xã ea tu,thành phố buôn ma thuột,đắk lắk,Không thuộc project/block,1,3360.0
Giá Tốt ! Nền 6x19 đường số 4 khu dân cư Nam Long,114.0,114.0,Tây Nam,Đã có sổ,Nở hậu,Đất thổ cư,6.0,19.0,4.0,3.0,"Nhà ngõ, hẻm",Nội thất cao cấp,65.0,Chưa bàn giao,88.3,Chung cư,5.0,6.0,Đông Nam,Căn góc,Mặt bằng kinh doanh,đường số 4,phường hưng thạnh,quận cái răng,cần thơ,Không thuộc project/block,1,3300.0
"*Q11 hẻm 3m HànHaiNguyen 3,8*7,5m 3pn 3 tỷ 650 tl",29.0,29.0,Tây Nam,Đã có sổ,Nở hậu,Đất thổ cư,3.8,7.5,3.0,3.0,"Nhà ngõ, hẻm",Nội thất cao cấp,65.0,Chưa bàn giao,88.3,Chung cư,3.0,6.0,Đông Nam,Căn góc,Mặt bằng kinh doanh,đường hàn hải nguyên,phường 2,quận 11,tp hồ chí minh,Không thuộc project/block,1,3650.0
Chính chủ cần bán nhanh nhà,40.0,40.0,Tây Nam,Đã có sổ,Nở hậu,Đất thổ cư,4.0,10.0,2.0,2.0,Nhà phố liền kề,Nội thất đầy đủ,80.0,Chưa bàn giao,88.3,Chung cư,3.0,6.0,Đông Nam,Căn góc,Mặt bằng kinh doanh,đường bờ nhà thờ,xã hưng long,huyện bình chánh,tp hồ chí minh,Không thuộc project/block,1,690.0
"Đất Thổ Cư 200m2 TLộ 15 Củ Chi 1 tỷ, sổ hồng riêng",200.0,200.0,Tây Nam,Đã có sổ,Nở hậu,Đất thổ cư,5.0,40.0,2.0,2.0,Nhà phố liền kề,Nội thất đầy đủ,80.0,Chưa bàn giao,88.3,Chung cư,3.0,6.0,Đông Nam,Căn góc,Mặt bằng kinh doanh,đường tỉnh lộ 15,xã an nhơn tây,huyện củ chi,tp hồ chí minh,Không thuộc project/block,1,1000.0
nhà 1trêt 1 lửng 2 lầu + sân thượng tp Thủ đức,63.0,63.0,Tây Bắc,Đã có sổ,Nở hậu,Đất thổ cư,52.0,123.0,4.0,5.0,Nhà phố liền kề,Nội thất cao cấp,240.0,Chưa bàn giao,88.3,Chung cư,3.0,6.0,Đông Nam,Căn góc,Mặt bằng kinh doanh,đường 22,phường linh đông,quận thủ đức,tp hồ chí minh,Không thuộc project/block,1,6270.0
"Bán 10x104m (1046m)xã Đá Bạc, 435tr",1046.0,1046.0,Tây Bắc,Đã có sổ,Nở hậu,Đất nông nghiệp,10.0,104.0,4.0,5.0,Nhà phố liền kề,Nội thất cao cấp,240.0,Chưa bàn giao,88.3,Chung cư,3.0,6.0,Đông Nam,Căn góc,Mặt bằng kinh doanh,đường tỉnh lộ 765,xã đá bạc,huyện châu đức,bà rịa - vũng tàu,Không thuộc project/block,1,435.0
"Mặt phố Giải Phóng 170m, mt 12m, nhỉnh 19 tỷ, KD",170.0,170.0,Bắc,Đã có sổ,Nở hậu,Đất nông nghiệp,12.0,14.0,4.0,4.0,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,170.0,Chưa bàn giao,88.3,Chung cư,3.0,6.0,Đông Nam,Căn góc,Mặt bằng kinh doanh,đường giải phóng,phường phương liệt,quận thanh xuân,hà nội,Không thuộc project/block,1,19000.0
Bán Đất Hưng Phức Hoàng Mai 5m ra phố 108m giá5.2T,108.0,108.0,Bắc,Đã có sổ,Nở hậu,Đất thổ cư,12.0,14.0,4.0,4.0,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,170.0,Chưa bàn giao,88.3,Chung cư,3.0,6.0,Đông Nam,Căn góc,Mặt bằng kinh doanh,đường hưng phúc,phường yên sở,quận hoàng mai,hà nội,Không thuộc project/block,1,5200.0
Nhà ở kết hợp Officetel mặt tiền Lũy Bán Bích,40.0,108.0,Bắc,Giấy tờ khác,Nở hậu,Đất thổ cư,12.0,14.0,1.0,1.0,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,170.0,Chưa bàn giao,40.0,Duplex,3.0,6.0,Đông Nam,Căn góc,Mặt bằng kinh doanh,đường lũy bán bích,phường phú thạnh,quận tân phú,tp hồ chí minh,Không thuộc project/block,1,1250.0
"Bán Gấp nhà MT đường số 3 khu Fatima, HBC, Thủ Đức",80.0,80.0,Tây Bắc,Đã có sổ,Nở hậu,Đất thổ cư,4.0,18.0,2.0,1.0,"Nhà mặt phố, mặt tiền",Hoàn thiện cơ bản,80.0,Chưa bàn giao,40.0,Duplex,3.0,6.0,Đông Nam,Căn góc,Mặt bằng kinh doanh,đường số 3,phường hiệp bình chánh,quận thủ đức,tp hồ chí minh,Không thuộc project/block,1,6900.0
"Chính chủ Nhà Quang Trung 6,6x11m 1 lầu đổ kiên cố",72.0,72.0,Nam,Đã có sổ,Nở hậu,Đất thổ cư,6.0,11.0,3.0,2.0,"Nhà ngõ, hẻm",Nội thất đầy đủ,140.0,Chưa bàn giao,40.0,Duplex,1.0,6.0,Đông Nam,Căn góc,Mặt bằng kinh doanh,đường quang trung,phường 10,quận gò vấp,tp hồ chí minh,Không thuộc project/block,1,3500.0
Bán gấp nhà 1T1L Lâm Văn Bền/Q7 50m2/1ty721tr,51.5,51.5,Nam,Đã có sổ,Nở hậu,Đất thổ cư,5.0,10.0,3.0,3.0,"Nhà mặt phố, mặt tiền",Nội thất cao cấp,100.0,Chưa bàn giao,40.0,Duplex,2.0,6.0,Đông Nam,Căn góc,Mặt bằng kinh doanh,đường lâm văn bền,phường tân kiểng,quận 7,tp hồ chí minh,Không thuộc project/block,1,1721.0
Bán nhà sổ hồng riêng,109.0,109.0,Nam,Đã có sổ,Hẻm xe hơi,Đất thổ cư,5.0,22.0,2.0,1.0,"Nhà ngõ, hẻm",Nội thất cao cấp,109.0,Chưa bàn giao,40.0,Duplex,2.0,6.0,Đông Nam,Căn góc,Mặt bằng kinh doanh,đường nguyễn thái học,phường trảng dài,thành phố biên hòa,đồng nai,Không thuộc project/block,1,1640.0
"PHÁ SẢN BÁN NHÀ TRẦN NÃO,60M2,1TY630TR,Q2,SHR,XDTD",60.0,60.0,Nam,Đã có sổ,Hẻm xe hơi,Đất thổ cư,4.0,15.0,3.0,2.0,"Nhà ngõ, hẻm",Nội thất cao cấp,60.0,Chưa bàn giao,40.0,Duplex,2.0,6.0,Đông Nam,Căn góc,Mặt bằng kinh doanh,đường trần não,phường bình an,quận 2,tp hồ chí minh,Không thuộc project/block,1,1630.0
"Nhà 120m2 Lê Thị Hà,Hóc Môn 1,365 tỷ Sổ Hồng Riêng",120.0,120.0,Đông Bắc,Đã có sổ,Hẻm xe hơi,Đất thổ cư,6.0,20.0,2.0,1.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,120.0,Chưa bàn giao,40.0,Duplex,2.0,6.0,Đông Nam,Căn góc,Mặt bằng kinh doanh,đường lê thị hà,xã tân xuân,huyện hóc môn,tp hồ chí minh,Không thuộc project/block,1,1365.0
Bán nhà Quận Tân Bình Lê Văn Sỹ 66m2 giá 3.35 tỷ,,30.0,Đông Bắc,Đã có sổ,Hẻm xe hơi,Đất thổ cư,6.0,8.0,3.0,2.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,66.0,Chưa bàn giao,40.0,Duplex,2.0,6.0,Đông Nam,Căn góc,Mặt bằng kinh doanh,đường lê văn sỹ,phường 2,quận tân bình,tp hồ chí minh,Không thuộc project/block,1,3350.0
"Phùng Hưng- Hà Đông, ô tô đỗ cửa, 50m2, 4 tầng",52.0,52.0,Đông Bắc,Đã có sổ,Hẻm xe hơi,Đất thổ cư,3.0,17.0,4.0,3.0,"Nhà mặt phố, mặt tiền",Hoàn thiện cơ bản,66.0,Chưa bàn giao,40.0,Duplex,4.0,6.0,Đông Nam,Căn góc,Mặt bằng kinh doanh,đường phùng hưng,phường phúc la,quận hà đông,hà nội,Không thuộc project/block,1,5200.0
Bán đất tặng nhà 4 tầng sát phố Quang Trung 2.8 tỷ,39.0,39.0,Đông Bắc,Đã có sổ,Hẻm xe hơi,Đất thổ cư,3.0,17.0,5.0,4.0,"Nhà ngõ, hẻm",Nội thất cao cấp,66.0,Chưa bàn giao,40.0,Duplex,4.0,6.0,Đông Nam,Căn góc,Mặt bằng kinh doanh,đường quang trung,phường nguyễn trãi,quận hà đông,hà nội,Không thuộc project/block,1,2800.0
"đất tách thửa 100m2,khu MR Bàu Bàng,Lai Uyên,TC,SH",100.0,100.0,Đông Nam,Đã có sổ,Hẻm xe hơi,Đất thổ cư,5.0,20.0,5.0,4.0,"Nhà ngõ, hẻm",Nội thất cao cấp,66.0,Chưa bàn giao,40.0,Duplex,4.0,6.0,Đông Nam,Căn góc,Mặt bằng kinh doanh,đường số 12,thị trấn lai uyên,huyện bàu bàng,bình dương,A,1,545.0
"Nhà cấp 3 Chu Văn An,B.Thạnh, 61m2, 1 tỷ, shr-xdtd",61.0,61.0,Đông Nam,Đã có sổ,Nở hậu,Đất thổ cư,5.0,12.2,2.0,2.0,"Nhà mặt phố, mặt tiền",Nội thất cao cấp,61.0,Chưa bàn giao,40.0,Duplex,4.0,6.0,Đông Nam,Căn góc,Mặt bằng kinh doanh,đường chu văn an,phường 12,quận bình thạnh,tp hồ chí minh,A,1,1000.0
bán gấp nhà 1 tr1L phạm thế hiển 70m2/1.25 tỷ q8,70.0,70.0,Đông Nam,Đã có sổ,Hẻm xe hơi,Đất thổ cư,5.0,14.0,2.0,2.0,"Nhà mặt phố, mặt tiền",Nội thất cao cấp,140.0,Chưa bàn giao,40.0,Duplex,1.0,6.0,Đông Nam,Căn góc,Mặt bằng kinh doanh,đường phạm thế hiển,phường 5,quận 8,tp hồ chí minh,A,1,1250.0
ĐẤT QUY HOẠCH ĐẤT Ở HUYỆN TRANG BOM ĐỒNG NAI,100.0,100.0,Đông Nam,Đã có sổ,Nở hậu,Đất thổ cư,5.0,20.0,2.0,2.0,"Nhà mặt phố, mặt tiền",Nội thất cao cấp,140.0,Chưa bàn giao,40.0,Duplex,1.0,6.0,Đông Nam,Căn góc,Mặt bằng kinh doanh,đường quốc lộ 1a,xã sông thao,huyện trảng bom,đồng nai,A,1,185.0
"điện biên phủ p15 dt 38m3 dt 4,2m x8m nở hậu 6,2m",38.0,38.0,Đông Nam,Đã có sổ,Nở hậu,Đất thổ cư,4.2,8.0,2.0,2.0,"Nhà mặt phố, mặt tiền",Nội thất cao cấp,76.0,Chưa bàn giao,40.0,Duplex,1.0,6.0,Đông Nam,Căn góc,Mặt bằng kinh doanh,đường điện biên phủ,phường 15,quận bình thạnh,tp hồ chí minh,A,1,3850.0
Nhà mới xây,98.0,98.0,Đông,Đã có sổ,Hẻm xe hơi,Đất thổ cư,5.0,20.0,2.0,3.0,"Nhà ngõ, hẻm",Nội thất cao cấp,85.0,Chưa bàn giao,40.0,Duplex,1.0,6.0,Đông Nam,Căn góc,Mặt bằng kinh doanh,đường ấp mới 1,xã mỹ hạnh nam,huyện đức hòa,long an,A,1,1750.0
"Bán nhà THANH XUÂN,KIM GIANG,70m, 5T, 6,9TỶ",70.0,70.0,Đông,Đã có sổ,Hẻm xe hơi,Đất thổ cư,5.0,20.0,8.0,4.0,"Nhà ngõ, hẻm",Nội thất cao cấp,70.0,Chưa bàn giao,40.0,Duplex,5.0,6.0,Đông Nam,Căn góc,Mặt bằng kinh doanh,đường đại từ,phường đại kim,quận hoàng mai,hà nội,A,1,6900.0
"Lỗ vốn bán nhà tân phú 64m2 giá 1,3 tỷ",64.0,64.0,Đông,Đã có sổ,Nở hậu,Đất thổ cư,5.0,20.0,2.0,1.0,"Nhà ngõ, hẻm",Nội thất đầy đủ,70.0,Chưa bàn giao,40.0,Duplex,5.0,6.0,Đông Nam,Căn góc,Mặt bằng kinh doanh,đường lê trọng tấn,phường tây thạnh,quận tân phú,tp hồ chí minh,A,1,1300.0
"Nhà mặt tiền SHR 53m2 trệt lầuTCH18, P.TCH,Q.12.",53.0,53.0,Đông Bắc,Đã có sổ,Nở hậu,Đất thổ cư,4.0,12.0,2.0,2.0,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,87.0,Chưa bàn giao,40.0,Duplex,5.0,6.0,Đông Nam,Căn góc,Mặt bằng kinh doanh,đường tân chánh hiệp 18,phường tân chánh hiệp,quận 12,tp hồ chí minh,A,1,3500.0
BÁN NHÀ MẶT TIỀN CHỢ BÌNH TRIỆU. GIẢM 400TR/ CĂN.,70.0,70.0,Bắc,Đã có sổ,Nở hậu,Đất thổ cư,5.0,14.0,4.0,4.0,"Nhà mặt phố, mặt tiền",Nội thất cao cấp,220.0,Chưa bàn giao,40.0,Duplex,3.0,6.0,Đông Nam,Căn góc,Mặt bằng kinh doanh,đường quốc lộ 13,phường hiệp bình chánh,quận thủ đức,tp hồ chí minh,A,1,6600.0
"đất sổ riêng, thị trấn vĩnh an",526.0,526.0,Bắc,Đã có sổ,Hẻm xe hơi,Đất nông nghiệp,11.0,49.0,4.0,4.0,"Nhà mặt phố, mặt tiền",Nội thất cao cấp,220.0,Chưa bàn giao,40.0,Duplex,3.0,6.0,Đông Nam,Căn góc,Mặt bằng kinh doanh,đường đt 767,thị trấn vĩnh an,huyện vĩnh cửu,đồng nai,A,1,690.0
"3 Lô liền kề đường Dương QUảng hàm Gò vấp, SHR 55m",55.0,55.0,Bắc,Đã có sổ,Hẻm xe hơi,Đất thổ cư,4.0,13.5,4.0,4.0,"Nhà mặt phố, mặt tiền",Nội thất cao cấp,220.0,Chưa bàn giao,40.0,Duplex,3.0,6.0,Đông Nam,Căn góc,Mặt bằng kinh doanh,đường dương quảng hàm,phường 5,quận gò vấp,tp hồ chí minh,A,1,1950.0
Nhà Siêu Rẻ - Siêu Đẹp - Hxh - 48m2 Bán Nhanh Trả,48.0,48.0,Bắc,Đã có sổ,Nở hậu,Đất thổ cư,5.0,9.0,4.0,4.0,"Nhà ngõ, hẻm",Nội thất cao cấp,48.0,Chưa bàn giao,40.0,Duplex,4.0,6.0,Đông Nam,Căn góc,Mặt bằng kinh doanh,đường thống nhất,phường 10,quận gò vấp,tp hồ chí minh,A,1,6500.0
"Nhỉnh 3 tỷ, có ngay sổ đỏ nhà 40m2x5T, ở Xuân Đỉnh",40.0,40.0,Bắc,Đã có sổ,Nở hậu,Đất thổ cư,5.0,9.0,4.0,4.0,"Nhà ngõ, hẻm",Nội thất cao cấp,48.0,Chưa bàn giao,40.0,Duplex,4.0,6.0,Đông Nam,Căn góc,Mặt bằng kinh doanh,đường phạm văn đồng,phường xuân đỉnh,quận bắc từ liêm,hà nội,A,1,3850.0
Nhà xây sẵn Bích hoà thanh oai hà nội,30.0,30.0,Bắc,Đã có sổ,Nở hậu,Đất thổ cư,3.0,7.0,3.0,3.0,"Nhà ngõ, hẻm",Nội thất cao cấp,120.0,Chưa bàn giao,40.0,Duplex,4.0,6.0,Đông Nam,Căn góc,Mặt bằng kinh doanh,đường quốc lộ 21b,xã bích hòa,huyện thanh oai,hà nội,A,1,1500.0
"Bán nhà đường Nguyễn Chánh Sắt, P13, Tân Bình",40.0,30.0,Bắc,Đã có sổ,Nở hậu,Đất thổ cư,3.0,7.0,3.0,3.0,"Nhà ngõ, hẻm",Nội thất cao cấp,120.0,Chưa bàn giao,40.0,Duplex,4.0,6.0,Đông Nam,Căn góc,Văn phòng,nguyễn chánh sắt,phường 13,quận tân bình,tp hồ chí minh,A,1,7200.0
Nhà mới đón tết ngay cao đẳng sư phạm Bmt,85.0,85.0,Tây,Đã có sổ,Hẻm xe hơi,Đất thổ cư,5.0,17.0,3.0,2.0,"Nhà ngõ, hẻm",Nội thất cao cấp,120.0,Chưa bàn giao,40.0,Duplex,4.0,6.0,Đông Nam,Căn góc,Văn phòng,đường mai thị lựu,phường ea tam,thành phố buôn ma thuột,đắk lắk,A,1,1850.0
"Bán nhà cấp 4 mê lững đúc , kiệt Trần Xuân Lê",57.0,57.0,Đông Nam,Đã có sổ,Hẻm xe hơi,Đất thổ cư,4.0,15.0,3.0,2.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,100.0,Chưa bàn giao,40.0,Duplex,4.0,6.0,Đông Nam,Căn góc,Văn phòng,đường trần xuân lê,phường an khê,quận thanh khê,đà nẵng,A,1,1750.0
"BÁN MẶT TIỀN VÀNH ĐAI QL 14_26 XÃ EATU, GẦN UB XÃ",1000.0,1000.0,Đông Nam,Đã có sổ,Hẻm xe hơi,Đất thổ cư,23.0,50.0,3.0,2.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,100.0,Chưa bàn giao,40.0,Duplex,4.0,6.0,Đông Nam,Căn góc,Văn phòng,đường vành đai,xã ea tu,thành phố buôn ma thuột,đắk lắk,A,1,3360.0
ĐỊNH CƯ MỸ BÁN GẤP 70M2 NHÀ ĐG SONG HÀNH Q2.,70.0,70.0,Đông,Đã có sổ,Nở hậu,Đất thổ cư,5.0,14.0,4.0,3.0,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,123.0,Chưa bàn giao,40.0,Duplex,1.0,6.0,Đông Nam,Căn góc,Văn phòng,đường song hành,phường an phú,quận 2,tp hồ chí minh,A,1,2200.0
Bán gấp đất thổ cư tân kỳ tân quý 63m2 đông dân,63.0,63.0,Đông,Đã có sổ,Nở hậu,Đất thổ cư,5.0,13.0,4.0,3.0,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,123.0,Chưa bàn giao,40.0,Duplex,1.0,6.0,Đông Nam,Căn góc,Văn phòng,đường tân kỳ tân quý,phường bình hưng hòa,quận bình tân,tp hồ chí minh,A,1,3100.0
Bán đất MT đường 534 UBND Nhuận Đức 500m2 930 trịu,500.0,500.0,Đông,Đã có sổ,Mặt tiền,Đất nông nghiệp,20.0,25.0,4.0,3.0,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,123.0,Chưa bàn giao,40.0,Duplex,1.0,6.0,Đông Nam,Căn góc,Văn phòng,nguyễn thị rành,xã nhuận đức,huyện củ chi,tp hồ chí minh,A,1,930.0
BÁN NHÀ Hẻm Xe Hơi Nguyễn Thị Tú. SỔ HỒNG RIÊNG.,56.0,56.0,Nam,Đã có sổ,Hẻm xe hơi,Đất nông nghiệp,4.0,14.0,4.0,6.0,"Nhà mặt phố, mặt tiền",Nội thất cao cấp,200.0,Chưa bàn giao,40.0,Duplex,3.0,6.0,Đông Nam,Căn góc,Văn phòng,đường nguyễn thị tú,phường bình hưng hoà b,quận bình tân,tp hồ chí minh,A,1,2900.0
Kẹt nợ bán gấp nhà 4x10 2p full nt đường số 4 p16,38.0,38.0,Nam,Đã có sổ,Hẻm xe hơi,Đất nông nghiệp,4.0,10.0,2.0,2.0,"Nhà ngõ, hẻm",Nội thất cao cấp,76.0,Chưa bàn giao,40.0,Duplex,3.0,6.0,Đông Nam,Căn góc,Văn phòng,đường số 4,phường 16,quận gò vấp,tp hồ chí minh,A,1,3490.0
TÔI CẦN BÁN LÔ ĐẤT SÁT BÊN TRƯỜNG CẤP 3 ĐỨC HÒA,124.0,124.0,Nam,Đã có sổ,Mặt tiền,Đất thổ cư,45.0,26.0,2.0,2.0,"Nhà ngõ, hẻm",Nội thất cao cấp,76.0,Chưa bàn giao,40.0,Duplex,3.0,6.0,Đông Nam,Căn góc,Văn phòng,đường nguyễn văn dương,xã đức hòa đông,huyện đức hòa,long an,A,1,980.0
Bán nhà 1 trệt 2 lầu 6x20- KDC Phú Nhuận- T.Đức,120.0,120.0,Nam,Đã có sổ,Mặt tiền,Đất thổ cư,6.0,20.0,4.0,5.0,"Nhà mặt phố, mặt tiền",Nội thất cao cấp,235.0,Chưa bàn giao,40.0,Duplex,2.0,6.0,Đông Nam,Căn góc,Văn phòng,đường 13,phường hiệp bình chánh,quận thủ đức,tp hồ chí minh,A,1,15500.0
"Bán nhà 14/10C Calmette, Q.1, chính chủ.",48.0,48.0,Tây Bắc,Đã có sổ,Nở hậu,Đất thổ cư,6.0,20.0,4.0,5.0,"Nhà ngõ, hẻm",Nội thất cao cấp,235.0,Chưa bàn giao,40.0,Duplex,3.0,6.0,Đông Nam,Căn góc,Văn phòng,đường calmette,phường nguyễn thái bình,quận 1,tp hồ chí minh,A,1,7900.0
CẦN BÁN TRƯỚC TẾT GẤP,100.0,100.0,Đông Nam,Đã có sổ,Nở hậu,Đất thổ cư,4.5,25.0,4.0,3.0,"Nhà mặt phố, mặt tiền",Hoàn thiện cơ bản,100.0,Chưa bàn giao,40.0,Duplex,3.0,6.0,Đông Nam,Căn góc,Văn phòng,hương lộ 11,xã hưng long,huyện bình chánh,tp hồ chí minh,A,1,900.0
"Đất Bình Châu, mặt tiền gần khu nghỉ dưỡng HT 509m",509.0,509.0,Đông Nam,Đã có sổ,Mặt tiền,Đất nông nghiệp,4.5,25.0,4.0,3.0,"Nhà mặt phố, mặt tiền",Hoàn thiện cơ bản,100.0,Chưa bàn giao,40.0,Duplex,3.0,6.0,Đông Nam,Căn góc,Văn phòng,đường quốc lộ 55,xã bình châu,huyện xuyên mộc,bà rịa - vũng tàu,A,1,2500.0
Đất Đường chính Quang Châu 105m²,105.0,105.0,Đông,Đã có sổ,Mặt tiền,Đất thổ cư,5.0,21.0,4.0,3.0,"Nhà mặt phố, mặt tiền",Hoàn thiện cơ bản,100.0,Chưa bàn giao,40.0,Duplex,3.0,6.0,Đông Nam,Căn góc,Văn phòng,ql 1a,xã hòa châu,huyện hòa vang,đà nẵng,A,1,1700.0
Bán đất kiệt đường NGUYỄN NHÀN,60.0,60.0,Tây Nam,Đã có sổ,Hẻm xe hơi,Đất thổ cư,6.0,10.0,4.0,3.0,"Nhà mặt phố, mặt tiền",Hoàn thiện cơ bản,100.0,Chưa bàn giao,40.0,Duplex,3.0,6.0,Đông Nam,Căn góc,Văn phòng,nguyễn nhàn,phường hòa thọ đông,quận cẩm lệ,đà nẵng,A,1,1430.0
Giá tốt! 3 sào 7 400m2 tc ngay Lữ Đoàn 198 EKMAT!,3688.0,3688.0,Đông,Đã có sổ,Hẻm xe hơi,Đất thổ cư,40.0,90.0,4.0,3.0,"Nhà mặt phố, mặt tiền",Hoàn thiện cơ bản,100.0,Chưa bàn giao,40.0,Duplex,3.0,6.0,Đông Nam,Căn góc,Văn phòng,lữ đoàn 198,xã ea tu,thành phố buôn ma thuột,đắk lắk,A,1,1250.0
NHÀ PHÂN LÔ Ô TÔ PHỐ NGUYỄN CHÍ THANH 40M2,40.0,40.0,Tây Bắc,Đã có sổ,Hẻm xe hơi,Đất thổ cư,3.0,10.0,4.0,4.0,Nhà phố liền kề,Nội thất đầy đủ,200.0,Chưa bàn giao,40.0,Duplex,3.0,6.0,Đông Nam,Căn góc,Văn phòng,đường nguyễn chí thanh,phường láng hạ,quận đống đa,hà nội,A,1,7000.0
