title,price,area,location,description,Diện tích đất:,Giá/m2:,Hướng cửa chính:,Giấy tờ pháp lý:,Đặc điểm nhà/đất:,Loại hình đất:,Chiều ngang:,Chiều dài:,Số phòng ngủ:,Số phòng vệ sinh:,Loại hình nhà ở:,Tình trạng nội thất:,Diện tích sử dụng:,Tình trạng bất động sản:,Diện tích:,Loại hình căn hộ:,Tổng số tầng:,Tên phân khu/Lô/Block/Tháp:,Mã căn / Mã căn hộ:,Tầng số:,Hướng ban công:,Mã lô:,Đặc điểm căn hộ:,Loại hình văn phòng:,location_clean,street,ward,district,city,ten_phan_khu_final,planA_log
BÁN ĐẤT THỔ CƯ 100M2,45000000,100.0,"3, Huỳnh Thị Lung, Xã Nhơn Thạnh Trung, Thành phố Tân An, Long An","BÁN ĐẤT THỔ CƯ
Diện Tích 100 M2 Thổ cư
TP Tân An,Long An.
Không qua trung gian.
Giá 450triệu.Còn Thương Lượng.
Liện Hệ Chính Chủ
Không tiếp quảng cáo.",100.0,450000,Đông Nam,Đã có sổ,Hẻm xe hơi,Đất thổ cư,4.0,25.0,2.0,2.0,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,48.0,Đã bàn giao,63.0,Chung cư,3.0,A,A04.05,11.0,Bắc,63,Căn góc,Mặt bằng kinh doanh,"3, huỳnh thị lung, xã nhơn thạnh trung, thành phố tân an, long an",huỳnh thị lung,xã nhơn thạnh trung,thành phố tân an,long an,A,
Kẹt tiền cần bán nhà 1T 1L ngay cafe Gió và Nước,2650000000,80.0,"Đường Lê Hồng Phong, Phường Phú Thọ, Thành phố Thủ Dầu Một, Bình Dương","Cần tiền làm ăn nên tôi muốn bán căn nhà 1 trệt 1 lầu ngay quán Cafe Gió và Nước
Nhà 1 trệt 1 lầu 2 phòng ngủ 3 wc, 1 phòng khách, 1 bếp, sân đậu ô tô
Diện tích đất 5x16m
Hướng nhà chánh Tây
Tiện ích xung quanh đầy đủ: Coop mart, sân banh Gò Đậu, bến xe Bình Dương, Becamex
Giá nhà xung quanh 2.9 tỷ. Giá này còn bớt chút lộc cho người mua thiện chí.
Tôi để lại nội thất trong nhà.
Tiếp người thiện chí muốn mua. Tiếp các ace môi giới. Các bạn quảng cáo làm ơn đừng gọi nhé!",80.0,33130000,Tây,Đã có sổ,Hẻm xe hơi,Đất thổ cư,5.0,16.0,2.0,2.0,"Nhà ngõ, hẻm",Nội thất đầy đủ,100.0,Đã bàn giao,63.0,Chung cư,2.0,A,A04.05,11.0,Bắc,63,Căn góc,Mặt bằng kinh doanh,"đường lê hồng phong, phường phú thọ, thành phố thủ dầu một, bình dương",đường lê hồng phong,phường phú thọ,thành phố thủ dầu một,bình dương,A,
Căn hộ Topaz Twins tầng 17,1490000000,48.0,"Đường D9, Phường Thống Nhất, Thành phố Biên Hòa, Đồng Nai","1 căn duy nhất thôi ạ
HOT HOT HOT ❌❌❌ 
căn studio 47m tầng 17. Tầng này trần cao hơn những tầng khác nên rất thoáng mát và rất ít khi bán. 
Nay chủ cần bán 1 Tỷ 490 Triệu. ( Bao trọn thuế phí sang nhượng ) 
Liên hệ em xem nhà và làm việc trực tiếp chính chủ .",80.0,31040000,Tây,Đã có sổ,Hẻm xe hơi,Đất thổ cư,5.0,16.0,1.0,1.0,"Nhà ngõ, hẻm",Nội thất đầy đủ,100.0,Đã bàn giao,48.0,Chung cư,2.0,b,17-15,17.0,Bắc,63,Căn góc,Mặt bằng kinh doanh,"đường d9, phường thống nhất, thành phố biên hòa, đồng nai",đường d9,phường thống nhất,thành phố biên hòa,đồng nai,B,
"xô viêt nghê tinh dt 25m2 dt 3,4m x7m nở hậu mới",2750000000,25.0,"xô viết nghệ tỉnh, Phường 21, Quận Bình Thạnh, Tp Hồ Chí Minh","NHÀ XÔ VIẾT NGHỆ TỈNH P21 bình thạnh 
Hẻm ba gác (3m ) thoáng mát 
Khu an ninh , khu dân trí cao , ko ngập nước 
☄️GIa.2,75 ty
☄️dt 3,4 m x 7m nở hậu 
☄️Dt 25m2,
☄️ kết cấu 1 trệt 1 lầu 2 pn 2 wc 
+ ⚖️Pháp lý: Sổ Hồng chính chủ. 
:point_right:Xin vui lòng liên hệ:
Mr HOÀNG HỒ : vào zalo kết bạn xem nhiều sản phẩm đẹp giá tốt
Đăng 100% thật , hình thật",25.0,110000000,Tây,Đã có sổ,Hẻm xe hơi,Đất thổ cư,3.4,7.0,2.0,2.0,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,50.0,Đã bàn giao,48.0,Chung cư,1.0,b,17-15,17.0,Bắc,63,Căn góc,Mặt bằng kinh doanh,"xô viết nghệ tỉnh, phường 21, quận bình thạnh, tp hồ chí minh",xô viết nghệ tỉnh,phường 21,quận bình thạnh,tp hồ chí minh,B,
Đất Quận 9 giá rẻ 65m2 ngay chợ Long Phước,1590000000,65.0,"Đường 8, Phường Long Phước, Quận 9, Tp Hồ Chí Minh","Cần tiền bán gấp lô đất ngay chợ Long Phước giá rẻ Quận 9
+ Vị trí nằm trong khu dân cư sầm uất gần sát chợ và trường học từ mầm non đến cấp 2 Long 
+ Gần UBND phường Long Phước, cách bệnh viện khoảng 800m, các tiện ích xung quanh siêu thị , bách hóa Xanh....có đầy đủ 
_ DT : 65m2 ngang 4m dài 16,25m đường nhựa trước đất 9m
_ Sổ hồng riêng công chứng bao sang tên trong ngày
** Giá trên rẻ lắm rồi, anh chị thiện chí xin liên hệ để gặp Chính Chủ . Xin cảm ơn",65.0,24460000,Tây,Đã có sổ,Mặt tiền,Đất thổ cư,4.0,16.25,2.0,2.0,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,50.0,Đã bàn giao,48.0,Chung cư,1.0,b,17-15,17.0,Bắc,63,Căn góc,Mặt bằng kinh doanh,"đường 8, phường long phước, quận 9, tp hồ chí minh",đường 8,phường long phước,quận 9,tp hồ chí minh,B,
"Đất phân lô Lê Trọng Tấn, Thanh Xuân 57m2- MT 4.5M",7700000000,57.0,"Đường Lê Trọng Tấn, Phường Khương Mai, Quận Thanh Xuân, Hà Nội","Đất phân lô vuông vắn 57m2- mặt tiền 4.5 mét. Khu Phân lô Lê Trọng Tấn, Thanh Xuân.
- Nhà cần tài chính nên bán giá hợp lý hơn so với khu vực chung nên ai mua chỉ có được thôi ạ.
- Đường rộng ô tô 7 chỗ vào nhà thoải mái.
- Vị trí gần sân bóng, gần Phòng không không quân.
- Khu vực VIP hiếm nhà bán, giao thông thuận tiện các ngả, an sinh tiện ích không thiếu gì.
- Ai thiện chí thì liên hệ gđ không có thời gian tiếp môi giới, trung gian đâu ạ.
- Sổ đỏ vuông nét giao dịch ngay.",57.0,135090000,Tây,Đã có sổ,Mặt tiền,Đất thổ cư,4.0,12.0,2.0,2.0,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,50.0,Đã bàn giao,48.0,Chung cư,1.0,b,17-15,17.0,Bắc,63,Căn góc,Mặt bằng kinh doanh,"đường lê trọng tấn, phường khương mai, quận thanh xuân, hà nội",đường lê trọng tấn,phường khương mai,quận thanh xuân,hà nội,B,
Bán 30 lô ngoại giao Kđt Thanh Hà - Hà Nam,920000000,100.0,"Đường 494, Phường Lê Hồng Phong, Thành phố Thái Bình, Thái Bình","Dự án: kđt Thanh Hà - Thanh Liêm - Hà NAm.
 Thông tin chi tiết: 🔥 BÁN CÁC LÔ NGOẠI GIAO ĐẸP KĐT THANH HÀ- HÀ NAM

- Là dự án đầu tiên của Huyện Thanh Liêm đón đầu sóng phát triển các khu công nghiệp của huyện
Diện tích 100-160m2. Đường trước nhà 15,5m - 20,5m - 54m
🌷Hạ tầng hoàn thiện, pháp lý đảm bảo
💥Giá chỉ từ 920Tr/ lô 100m2
👉Cách trung tâm Tp. Phủ Lý chỉ 5km
👉Bệnh viện Việt Đức, Bv Bạch Mai 5km
👉Trung tâm hành chính huyện Thanh Liêm 0,3km
👉Nút giao cao tốc Liêm Tuyền 5km
👉QL1A __0,3km
👉Khu công nghiệp Thanh Liêm 0,4km
👉Khu công nghiệp công nghệ cao 0,5 km
HẠNH PHÚC AN CƯ – ĐẦU TƯ PHÁT LỘC !
Call em Minh để được tư vấn và chốt lô",100.0,9200000,Tây,Đã có sổ,Mặt tiền,Đất nền dự án,5.0,20.0,2.0,2.0,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,50.0,Đã bàn giao,48.0,Chung cư,1.0,b,17-15,17.0,Bắc,63,Căn góc,Mặt bằng kinh doanh,"đường 494, phường lê hồng phong, thành phố thái bình, thái bình",đường 494,phường lê hồng phong,thành phố thái bình,thái bình,B,
Ưu đãi La Villa chiết khấu 15% trúng Honda City,3800000000,100.0,"Đường Hùng Vương nối dài, Phường 6, TP.Tân An, Tỉnh Long An","Ưu đãi tháng 01/2020, khi mua nhà phố tại dự án La Villa Green City, quý khách hàng được: 
- Chiết khấu lên đến 15%.
- Trả góp 15% trong 52 tháng với 0% lãi suất. 
- Tổng trị giá quà tặng có thể lên đến 600 triệu đồng. 
 Thông tin dự án: Dự án đẳng cấp thành phố Tân An với: cận thị, Nhị cận Giang, Tam Tiện ích:
- Nằm tại trung tâm P6, thành phố Tân An, mặt tiền quốc lộ 1A lộ giới 40m và đường Hùng Vương nối dài lộ giới 50m
- 1000m view sông Vàm Cỏ Tây.
- Tiện ích nội khu đa dạng: 02 bể bơi, 04 sân Tenis, 4ha công viên, quảng trường Nhạc nước, cầu Vàng check in....
- Trong bán kính 2km không thiếu tiện ích gì. 
Đặc biệt: 20 khách hàng đầu tiên giao dịch đặt cọc trong tháng 01/2020 được tặng thêm 5 chỉ vàng, 01 Smart TV, sổ tiết kiệm 30tr đồng và cơ hội rút thăm trúng Honda City.
Cam kết tư vấn chính sách chủ đầu tư và giá ưu đãi .",100.0,38000000,Tây,Đã có sổ,Nở hậu,Đất nền dự án,5.0,20.0,4.0,4.0,Nhà phố liền kề,Bàn giao thô,219.0,Đã bàn giao,48.0,Chung cư,3.0,"c4,c5,a4",17-15,17.0,Bắc,63,Căn góc,Mặt bằng kinh doanh,"đường hùng vương nối dài, phường 6, tp.tân an, tỉnh long an",đường hùng vương nối dài,phường 6,tp.tân an,tỉnh long an,Không thuộc project/block,
Bán đất Huyện Long Thành 120m²,2200000000,120.0,"Đường Nguyễn Hải, Xã An Phước, Huyện Long Thành, Đồng Nai","Chính chủ đất thổ cư ( 5x24), khu vực gần trung tâm Long Thành, có đầy đủ tiện ích xung quanh
Anh chị em ai cần liên hệ trực tiếp.
Cảm phiền các a e môi giới, quảng cáo đừng gọi tránh mất thời gian đôi bên.
Cám ơn chọ tốt duyệt tin.",120.0,18330000,Đông Bắc,Đã có sổ,Hẻm xe hơi,Đất thổ cư,5.0,24.0,4.0,4.0,Nhà phố liền kề,Bàn giao thô,219.0,Đã bàn giao,48.0,Chung cư,3.0,"c4,c5,a4",17-15,17.0,Bắc,63,Căn góc,Mặt bằng kinh doanh,"đường nguyễn hải, xã an phước, huyện long thành, đồng nai",đường nguyễn hải,xã an phước,huyện long thành,đồng nai,Không thuộc project/block,
Lô LK7 - 23 khu đấu giá Tân Phong - Tân Hòa,1500000000,120.0,"Phạm Văn Đồng, Phường Tân Hòa, Thành phố Buôn Ma Thuột, Đắk Lắk","🌳 [ĐẤT KHU ĐẤU GIÁ TÂN PHONG] 🌳
✅Khu đấu giá Tân Phong. Khu dân cư Tân Phong giá rẻ nhất khu vực
--------
• Muốn mua lô nào có lô đó hướng Tây, Đông, Nam, Bắc
Diện tích: 5x23m
Pháp lý: thổ cư 100%
🔥 LK 07-23 hướng Nam giá 1,5 tỷ (đã có sổ)
🔥 Liên hệ em Hoa để biết thêm giá và thông tin nhiều lô khác trong khu vực",120.0,12500000,Nam,Đã có sổ,Hẻm xe hơi,Đất thổ cư,5.0,24.0,4.0,4.0,Nhà phố liền kề,Bàn giao thô,219.0,Đã bàn giao,48.0,Chung cư,3.0,"c4,c5,a4",17-15,17.0,Bắc,63,Căn góc,Mặt bằng kinh doanh,"phạm văn đồng, phường tân hòa, thành phố buôn ma thuột, đắk lắk",phạm văn đồng,phường tân hòa,thành phố buôn ma thuột,đắk lắk,Không thuộc project/block,
"CBD Premium, quận 2 63m2 full nội thất 2PN",2400000000,63.0,"Đường Đồng Văn Cống, Phường Thạnh Mỹ Lợi, Quận 2, Tp Hồ Chí Minh","Tầng 11, View hồ bơi 2.4 tỷ (bao hết phí và nội thất), căn hộ 63m2 - 125 Đồng Văn Cống, Thạnh Mỹ Lợi, quận 2. Đầy đủ tiện nghi: 2 phòng ngủ, 2 toilet, 2 máy nước nóng, 3 Máy lạnh, 2 quạt tường, giường nệm, tủ áo.. 3 Smart tivi.. Bếp gas, máy hút khói, lò vi sóng, tủ lạnh, máy giặt, máy nước nóng, giàn phơi thông minh, salon phòng khách, quạt đứng, bàn ăn, tủ giày, tủ thờ, wifi, truyền hình cáp (xem ảnh kèm). Đặt cọc xong vào ở ngay.
Thùy Trâm (chính chủ).",120.0,38100000,Nam,Đang chờ sổ,Hẻm xe hơi,Đất thổ cư,5.0,24.0,2.0,2.0,Nhà phố liền kề,Bàn giao thô,219.0,Đã bàn giao,63.0,Chung cư,3.0,A,17-15,11.0,Bắc,63,Căn góc,Mặt bằng kinh doanh,"đường đồng văn cống, phường thạnh mỹ lợi, quận 2, tp hồ chí minh",đường đồng văn cống,phường thạnh mỹ lợi,quận 2,tp hồ chí minh,A,
Nhà Giá rẻ Sổ đỏ riêng 4.8 x 24 Cấp 4,1750000000,112.0,"Đường Trần Văn Mười, Xã Xuân Thới Thượng, Huyện Hóc Môn, Tp Hồ Chí Minh","🌈Nhà sổ Đỏ riêng Trần Văn Mười hẻm 4m 
 ( bao công chứng ủy quyền ) 
🌈Giá: 1 Tỷ 750.000.000VNĐ Giá bán
Diện tích đất xây 112m²
Diện tích : ngang 4.8 m dài 24m
Thiết kế: cấp 4 lững ,phòng ngủ ,phòng khách ,phòng bếp , tole
--------------
Hướng: Đông
Cách đường Trần Văn Mười 200 m
Ủy ban xuân thới thượng 500m 
cách Cá coi nhật bản Xuân Thới thượng 100m

---------------
Tiện tích: gần Bách hóa xanh , Gần chợ ,trung tâm mua sắm ,trường học ,khu vui chơi ,cơ sở hạ tầng Có nguồn nước sạch",112.0,15630000,Đông,Đã có sổ,Hẻm xe hơi,Đất thổ cư,5.0,24.0,2.0,1.0,"Nhà ngõ, hẻm",Bàn giao thô,112.0,Đã bàn giao,63.0,Chung cư,3.0,A,17-15,11.0,Bắc,63,Căn góc,Mặt bằng kinh doanh,"đường trần văn mười, xã xuân thới thượng, huyện hóc môn, tp hồ chí minh",đường trần văn mười,xã xuân thới thượng,huyện hóc môn,tp hồ chí minh,A,
🍎Nhà 3 Tầng Kiệt Đống Đa Gần Đường Chính Chủ Bán,3900000000,40.0,"Đống Đa, Phường Hải Châu I, Quận Hải Châu, Đà Nẵng","❌❌ Chính chủ Bán Nhà 3 Tầng kiệt Đống Đa , Quận Hải Châu , Thành Phố Đà Nẵng .................... 
——— ☘️☘️——— 

NHÀ ĐẸP THIẾT KẾ 3 MÊ 3 TẦNG KIÊN CỐ , HIỆN ĐẠI , KHÔNG GIAN THOÁNG 

✅ Diện tích: 42m2 Đất - Diện tích sử dụng 120m2 

✅ Công Năng : 3 phòng ngủ , 3 wc , phòng thờ , sân phơi , giếng trời , bếp , phòng khách , sân .. 

✅ Giá : 3ty9 - Để lại toàn bộ nội thất . @
———☘️☘️——— 

☎️☎️ LIÊN HỆ CHÍNH CHỦ : 07.666.43.666 NHÂN",40.0,97500000,Đông,Đã có sổ,Nở hậu,Đất thổ cư,5.0,24.0,3.0,3.0,"Nhà ngõ, hẻm",Bàn giao thô,112.0,Đã bàn giao,63.0,Chung cư,3.0,A,17-15,11.0,Bắc,63,Căn góc,Mặt bằng kinh doanh,"đống đa, phường hải châu i, quận hải châu, đà nẵng",đống đa,phường hải châu i,quận hải châu,đà nẵng,A,inconsistent_area
Nhà mặt tiền Thạch thị Thanh,1800000000,700.0,"Thạch Thị Thanh, Phường 8, Thành phố Trà Vinh, Trà Vinh","Cách tượng đài 200m
gần trường học
dt:700m
có300m thổ cư
sổ hồng đầy đủ",700.0,2570000,Đông,Đã có sổ,Nở hậu,Đất thổ cư,12.0,57.0,2.0,2.0,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,300.0,Đã bàn giao,63.0,Chung cư,3.0,A,17-15,11.0,Bắc,63,Căn góc,Mặt bằng kinh doanh,"thạch thị thanh, phường 8, thành phố trà vinh, trà vinh",thạch thị thanh,phường 8,thành phố trà vinh,trà vinh,A,
NHÀ CHÍNH CHỦ BÁN PHAN HUY ÍCH 850tr/ Căn,850000000,48.0,"Đường Phan Huy Ích, Phường 1, Quận Gò Vấp, Tp Hồ Chí Minh","NHÀ CHÍNH CHỦ BÁN PHAN HUY ÍCH 850tr/ Căn 
- Căn nhà gồm 1 trệt 1 lầu, một tấm.
- DT 24m, tổng diện tích sử dụng 48m
- Gồm 1 phòng khách, 1 gian bếp, 2 phòng ngủ, 2 WC.
- Thuận lợi gần đường Quốc lộ 1A, cách tuyến đường lớn.
- Xung quanh trường học, siêu thị, bệnh viện ngay cạnh bên nhà.
- Đường vào nhà rộng 5m.",48.0,17710000,Đông,Đã có sổ,Nở hậu,Đất thổ cư,4.0,12.0,2.0,2.0,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,48.0,Đã bàn giao,63.0,Chung cư,3.0,A,17-15,11.0,Bắc,63,Căn góc,Mặt bằng kinh doanh,"đường phan huy ích, phường 1, quận gò vấp, tp hồ chí minh",đường phan huy ích,phường 1,quận gò vấp,tp hồ chí minh,A,
BÁN ĐẤT THỔ CƯ 100M2,45000000,100.0,"3, Huỳnh Thị Lung, Xã Nhơn Thạnh Trung, Thành phố Tân An, Long An","BÁN ĐẤT THỔ CƯ
Diện Tích 100 M2 Thổ cư
TP Tân An,Long An.
Không qua trung gian.
Giá 450triệu.Còn Thương Lượng.
Liện Hệ Chính Chủ
Không tiếp quảng cáo.",100.0,450000,Đông Nam,Đã có sổ,Hẻm xe hơi,Đất thổ cư,4.0,25.0,2.0,2.0,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,48.0,Đã bàn giao,63.0,Chung cư,3.0,A,17-15,11.0,Bắc,63,Căn góc,Mặt bằng kinh doanh,"3, huỳnh thị lung, xã nhơn thạnh trung, thành phố tân an, long an",huỳnh thị lung,xã nhơn thạnh trung,thành phố tân an,long an,A,
Kẹt tiền cần bán nhà 1T 1L ngay cafe Gió và Nước,2650000000,80.0,"Đường Lê Hồng Phong, Phường Phú Thọ, Thành phố Thủ Dầu Một, Bình Dương","Cần tiền làm ăn nên tôi muốn bán căn nhà 1 trệt 1 lầu ngay quán Cafe Gió và Nước
Nhà 1 trệt 1 lầu 2 phòng ngủ 3 wc, 1 phòng khách, 1 bếp, sân đậu ô tô
Diện tích đất 5x16m
Hướng nhà chánh Tây
Tiện ích xung quanh đầy đủ: Coop mart, sân banh Gò Đậu, bến xe Bình Dương, Becamex
Giá nhà xung quanh 2.9 tỷ. Giá này còn bớt chút lộc cho người mua thiện chí.
Tôi để lại nội thất trong nhà.
Tiếp người thiện chí muốn mua. Tiếp các ace môi giới. Các bạn quảng cáo làm ơn đừng gọi nhé!",80.0,33130000,Tây,Đã có sổ,Hẻm xe hơi,Đất thổ cư,5.0,16.0,2.0,2.0,"Nhà ngõ, hẻm",Nội thất đầy đủ,100.0,Đã bàn giao,63.0,Chung cư,2.0,A,17-15,11.0,Bắc,63,Căn góc,Mặt bằng kinh doanh,"đường lê hồng phong, phường phú thọ, thành phố thủ dầu một, bình dương",đường lê hồng phong,phường phú thọ,thành phố thủ dầu một,bình dương,A,
Căn hộ Topaz Twins tầng 17,1490000000,48.0,"Đường D9, Phường Thống Nhất, Thành phố Biên Hòa, Đồng Nai","1 căn duy nhất thôi ạ
HOT HOT HOT ❌❌❌ 
căn studio 47m tầng 17. Tầng này trần cao hơn những tầng khác nên rất thoáng mát và rất ít khi bán. 
Nay chủ cần bán 1 Tỷ 490 Triệu. ( Bao trọn thuế phí sang nhượng ) 
Liên hệ em xem nhà và làm việc trực tiếp chính chủ .",80.0,31040000,Tây,Đã có sổ,Hẻm xe hơi,Đất thổ cư,5.0,16.0,1.0,1.0,"Nhà ngõ, hẻm",Nội thất đầy đủ,100.0,Đã bàn giao,48.0,Chung cư,2.0,b,17-15,17.0,Bắc,63,Căn góc,Mặt bằng kinh doanh,"đường d9, phường thống nhất, thành phố biên hòa, đồng nai",đường d9,phường thống nhất,thành phố biên hòa,đồng nai,B,
"xô viêt nghê tinh dt 25m2 dt 3,4m x7m nở hậu mới",2750000000,25.0,"xô viết nghệ tỉnh, Phường 21, Quận Bình Thạnh, Tp Hồ Chí Minh","NHÀ XÔ VIẾT NGHỆ TỈNH P21 bình thạnh 
Hẻm ba gác (3m ) thoáng mát 
Khu an ninh , khu dân trí cao , ko ngập nước 
☄️GIa.2,75 ty
☄️dt 3,4 m x 7m nở hậu 
☄️Dt 25m2,
☄️ kết cấu 1 trệt 1 lầu 2 pn 2 wc 
+ ⚖️Pháp lý: Sổ Hồng chính chủ. 
:point_right:Xin vui lòng liên hệ:
Mr HOÀNG HỒ : vào zalo kết bạn xem nhiều sản phẩm đẹp giá tốt
Đăng 100% thật , hình thật",25.0,110000000,Tây,Đã có sổ,Hẻm xe hơi,Đất thổ cư,3.4,7.0,2.0,2.0,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,50.0,Đã bàn giao,48.0,Chung cư,1.0,b,17-15,17.0,Bắc,63,Căn góc,Mặt bằng kinh doanh,"xô viết nghệ tỉnh, phường 21, quận bình thạnh, tp hồ chí minh",xô viết nghệ tỉnh,phường 21,quận bình thạnh,tp hồ chí minh,B,
Đất Quận 9 giá rẻ 65m2 ngay chợ Long Phước,1590000000,65.0,"Đường 8, Phường Long Phước, Quận 9, Tp Hồ Chí Minh","Cần tiền bán gấp lô đất ngay chợ Long Phước giá rẻ Quận 9
+ Vị trí nằm trong khu dân cư sầm uất gần sát chợ và trường học từ mầm non đến cấp 2 Long 
+ Gần UBND phường Long Phước, cách bệnh viện khoảng 800m, các tiện ích xung quanh siêu thị , bách hóa Xanh....có đầy đủ 
_ DT : 65m2 ngang 4m dài 16,25m đường nhựa trước đất 9m
_ Sổ hồng riêng công chứng bao sang tên trong ngày
** Giá trên rẻ lắm rồi, anh chị thiện chí xin liên hệ để gặp Chính Chủ . Xin cảm ơn",65.0,24460000,Tây,Đã có sổ,Mặt tiền,Đất thổ cư,4.0,16.25,2.0,2.0,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,50.0,Đã bàn giao,48.0,Chung cư,1.0,b,17-15,17.0,Bắc,63,Căn góc,Mặt bằng kinh doanh,"đường 8, phường long phước, quận 9, tp hồ chí minh",đường 8,phường long phước,quận 9,tp hồ chí minh,B,
Đất nền Diên Hòa Diên Khánh,565000000,106.0,"Đường Cao Bá Quát, Xã Diên Hòa, Huyện Diên Khánh, Khánh Hòa","Đất vàng ven đô Nha Trang, gần khu công nghiệp Diên Thọ với diện tích 106m² ,giá chỉ 5,6tr/m²",106.0,5330000,Tây Bắc,Đã có sổ,Mặt tiền,Đất thổ cư,5.0,10.0,2.0,2.0,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,50.0,Đã bàn giao,48.0,Chung cư,1.0,Bình Khánh 2,17-15,17.0,Bắc,63,Căn góc,Mặt bằng kinh doanh,"đường cao bá quát, xã diên hòa, huyện diên khánh, khánh hòa",đường cao bá quát,xã diên hòa,huyện diên khánh,khánh hòa,Không thuộc project/block,inconsistent_area
"💥Nhà 1 mê lửng,Mới,Đẹp 5*19,5m,hẻm Mạc Đỉnh Chi,v",1750000000,97.0,"mạc đỉnh chi, Phường Tân Tiến, Thành phố Buôn Ma Thuột, Đắk Lắk","💥Nhà 1 mê lửng,Mới,Đẹp 5*19,5m,hẻm Mạc Đỉnh Chi,view Đẹp,Hỗ Trợ Vay,gần chợ,gần Big C,nhiều lô khác xung quanh

📞 Liên hệ: A Khoa 

Nhà Đẹp,Mới 100%,chỉ dọn vào và ở ngay
Đường petong rộng rãi xe oto ra vào thoải mái.
Thuận Lợi lưu thông ra Mai Xuân Thưởng,Phan Bội Châu.Quang Trung
Khu vực dân cư ổn định,gần chợ Mạc Đỉnh Chi
Gần chợ ,trường học và các ủy ban .
Thuận lợi đi tới Siêu Thị Big C,gần khai trương
Bán kinh 500m,có đầy đủ tiện ích
Nhà Xây Kiên cố,bao gồm 1 phòng khách,2 phòng ngủ,bếp,2wc.có sân phơi,view đẹp.giếng trời,sân
Full Nội Thất như Gường,Tủ,Kệ Tivi,Bếp,Bàn ăn…

Đặc biệt:
*Thích hơp để ở.đinh cư lâu dài


🏡Pháp lý: Thổ cư 42m2
🏡Diện tích: 5*19,5m
🏡Hướng: Đông
🏡Giá: 1 tỷ 750tr,thương lượng chính chủ

💥
Lô TC 100% ,đông 6*13,5m,giá 1 tỷ 280 ,hẻm 123 mạc đĩnh chi
🏡Nhà cấp 4 cũ TC 100%,Bắc,,5*25m,Bắc,giá 1 tỷ 900tr,đg Hồ Giáo
💥
Nhà 1 mê,5*17m,DT sàn 130m2,giá 2 tỷ 150tr,Hẻm Nam Quốc Cang,Hỗ Trợ Vay
🏡Nhà TC 100%,6*17,8m,Bắc,giá 2 tỷ 800tr,mặt tiền Đg Lê Công Kiều,gần Phan Bội Châu
🏡Nhà 2 mặt tiền,TC 4*23m,Tổng 93,7m2,Bắc,giá 3 tỷ 300tr,mặt tiền Đg Nam Quốc Cang,gần Phan Bội Châu
💥có Đất TC 100% Hướng Đông,Tây.,Tây Nam Khu Đấu Giá Mai Xuân Thưởng,Phan Bội Châu giá từ 2 tỷ 300tr, đến 2 tỷ 500tr nhiều hướng khác nhau
“Nhận Kí gửi nhà + Đất
và còn nhiều lô Đất mặt tiền trong Thành Phố,khách cần alo nh",97.0,18040000,Đông,Đã có sổ,Mặt tiền,Đất thổ cư,5.0,10.0,2.0,2.0,"Nhà ngõ, hẻm",Nội thất đầy đủ,50.0,Đã bàn giao,48.0,Chung cư,1.0,Bình Khánh 2,17-15,17.0,Bắc,63,Căn góc,Mặt bằng kinh doanh,"mạc đỉnh chi, phường tân tiến, thành phố buôn ma thuột, đắk lắk",mạc đỉnh chi,phường tân tiến,thành phố buôn ma thuột,đắk lắk,Không thuộc project/block,inconsistent_area
"Bán nhà 4 tầng đường Lý Thái Tổ giá chỉ 3,45 tỷ",3450000000,24.0,"Đường Lý Thái Tổ, Phường 10, Quận 10, Tp Hồ Chí Minh","Nhà đẹp vào ở liền. Nằm khu vực dân trí, hẻm rộng thông thoáng.
Diện tích : ngang 3m dài 8m
Gồm 4 tầng đúc btct
3pn 3 tolet
Hướng Đông Nam
Sổ hồng chính chủ mua bán nhanh gọn
Giá chỉ 3,45 tỷ miễn tiếp cò lái quảng cáo",24.0,143750000,Đông Nam,Đã có sổ,Mặt tiền,Đất thổ cư,3.0,8.0,3.0,3.0,"Nhà ngõ, hẻm",Nội thất đầy đủ,156.0,Đã bàn giao,48.0,Chung cư,4.0,Bình Khánh 2,686868,17.0,Bắc,63,Căn góc,Mặt bằng kinh doanh,"đường lý thái tổ, phường 10, quận 10, tp hồ chí minh",đường lý thái tổ,phường 10,quận 10,tp hồ chí minh,Không thuộc project/block,
